CRTSH ID,Logged At,Not Before,Not After,Common Name,Issuer Name,firewall,associated_ips,http_response,missing_sec_headers,has_robots_txt
9018045788,2023-03-31T05:07:46.607,2023-03-31T04:07:46,2023-06-29T04:07:45,hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,"137.74.187.100,137.74.187.102,137.74.187.104,137.74.187.103,137.74.187.101",200,X-Frame-Options,True
10325415804,2023-09-08T07:50:33.062,2023-09-08T06:50:32,2023-10-23T06:50:31,hbh.sh,"C=US, O=Google Trust Services LLC, CN=GTS CA 2A1",Cloudflare (Cloudflare Inc.) WAF.,"172.67.150.93,104.21.63.208",200,"Content-Security-Policy,X-Frame-Options,Referrer-Policy",True
9025439196,2023-03-31T22:34:53.924,2023-03-31T21:34:53,2023-06-29T21:34:52,irc.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,"137.74.187.150,185.24.222.13",999,"Error: HTTPSConnectionPool(host='irc.hackthissite.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",False
10444455637,2023-08-31T04:18:28.952,2023-08-31T03:18:28,2023-11-29T03:18:27,lille.irc.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,"137.74.187.150,137.74.187.151,137.74.187.152",999,"Error: HTTPSConnectionPool(host='lille.irc.hackthissite.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",False
8589281172,2023-02-06T12:47:26.428,2023-02-06T11:47:26,2023-05-07T11:47:25,mail.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",Unknown,185.205.69.10,999,"Error: HTTPSConnectionPool(host='mail.hackthissite.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",False
8590569797,2023-02-06T16:38:04.079,2023-02-06T15:38:04,2023-05-07T15:38:03,mta-sts.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",Unknown,185.205.69.10,999,"Error: HTTPSConnectionPool(host='mta-sts.hackthissite.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))",False
9982569812,2023-07-24T18:09:35.458,2023-07-24T17:09:35,2023-10-22T17:09:34,new-status.hbh.sh,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,142.132.140.101,200,"Content-Security-Policy,X-Frame-Options",True
8349649708,2023-01-03T17:56:44.47,2023-01-03T16:56:44,2023-04-03T16:56:43,olympus.hbh.sh,"C=US, O=Let's Encrypt, CN=R3",Unknown,,999,"Error: HTTPSConnectionPool(host='olympus.hbh.sh', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117b4aed0>: Failed to resolve 'olympus.hbh.sh' ([Errno 8] nodename nor servname provided, or not known)""))",False
10083656054,2023-08-03T12:08:58.514,2023-08-03T11:08:58,2023-11-01T11:08:57,status.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,89.106.200.1,200,"Content-Security-Policy,X-Frame-Options",True
10220441556,2023-08-11T22:26:18.642,2023-08-11T21:26:18,2023-11-09T21:26:17,status.hbh.sh,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,192.95.8.47,200,"Content-Security-Policy,Strict-Transport-Security,X-Frame-Options,Referrer-Policy",True
10031603475,2023-07-28T19:33:38.162,2023-07-28T18:33:38,2023-10-26T18:33:37,wolf.irc.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,185.24.222.13,999,"Error: HTTPSConnectionPool(host='www.irc.hackthissite.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",False
24564717,2016-07-14T07:55:01.55,2016-07-14T00:00:00,2017-07-14T23:59:59,www.example.com,"C=US, O=""thawte, Inc."", CN=thawte SSL CA - G2",Edgecast (Verizon Digital Media) WAF.,93.184.216.34,200,"Content-Security-Policy,Strict-Transport-Security,X-Frame-Options,Referrer-Policy",False
8396709327,2023-01-13T13:18:21.987,2023-01-13T00:00:00,2024-02-13T23:59:59,www.example.org,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1",Edgecast (Verizon Digital Media) WAF.,93.184.216.34,200,"Content-Security-Policy,Strict-Transport-Security,X-Frame-Options,Referrer-Policy",False
10293417331,2023-08-27T04:18:09.196,2023-08-27T03:18:09,2023-11-25T03:18:08,www.hbh.sh,"C=US, O=Let's Encrypt, CN=R3",Cloudflare (Cloudflare Inc.) WAF.,"104.21.63.208,172.67.150.93",200,"Content-Security-Policy,X-Frame-Options,Referrer-Policy",True
9417891960,2023-05-18T03:19:18.933,2023-05-18T02:19:18,2023-08-16T02:19:17,www.irc.hackthissite.org,"C=US, O=Let's Encrypt, CN=R3",No WAF detected,137.74.187.153,200,"Error: HTTPSConnectionPool(host='www.irc.hackthissite.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1006)')))",False
